TCOA_Company,TCOA_Cabang,TCOA_Jenis_transaksi,TCOA_Traksaksi_Debit,TCOA_Transaksi_Credit,TCOA_Mutasi_Debit,TCOA_Mutasi_Credit,TCOA_CreateDate,TCOA_CreateUser,TCOA_CreateTIme,TCOA_ModifyUser,TCOA_ModifyDate,TCOA_ModifyTime
01,05,372,130100002,400100021,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,372,250000004,300300021,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,372,300100021,110100021,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,373,130100002,400100022,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,373,250000004,300300022,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,373,300100022,110100022,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,374,130100002,400100023,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,374,250000004,300300023,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,374,300100023,110100023,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,375,130100002,400100024,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,375,250000004,300300024,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,375,300100024,110100024,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,400,120500000,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,401,130100002,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,402,120500000,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,403,130100001,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,404,400100100,130100000,A01,A01,NULL,NULL,NULL,SETYO,2013-10-30 19:54:18.090,19:54:18
01,05,405,830000000,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,406,709000013,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,407,120500001,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,408,150000006,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,409,150000007,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,410,150000008,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,411,150000009,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,412,150000010,130100000,A01,A01,2013-01-11 09:55:00.263,DARMAWAN,09:55:00,NULL,NULL,NULL
01,05,550,,110300000,,K03,NULL,NULL,NULL,NULL,NULL,NULL
01,05,550,100310000,110200000,F01,F03,NULL,NULL,NULL,NULL,NULL,NULL
01,05,550,723000000,719000000,K02,K01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,551,,110300000,,K03,NULL,NULL,NULL,NULL,NULL,NULL
01,05,551,100310000,110100000,F01,F03,NULL,NULL,NULL,NULL,NULL,NULL
